Date, Mid, High, Low
2020-03-10, 3.970293307740271, 4.18131521290107, 3.769376024312047
2020-03-09, 4.031367007619281, 4.297328372413722, 3.7844396094245134
2020-03-06, 3.655548696282076, 3.7525794973921154, 3.56067783911427
2020-03-05, 3.7826301070476, 3.913880276754663, 3.6565651977448907
2020-03-04, 3.8999508670469565, 4.006442252933985, 3.795922896425642
2020-03-03, 3.836509476363959, 4.006519082325339, 3.672325613857143
2020-03-02, 3.8066454914109937, 4.029234610521869, 3.5976141878719186
2020-02-28, 3.7192804164090796, 3.8863171088414634, 3.5611752214100405
2020-02-27, 3.8640701412903793, 4.053180524825916, 3.6852972475633194
2020-02-26, 3.917275123022607, 4.134310912188532, 3.717395608820789
2020-02-25, 3.7714988424968148, 3.953539216151685, 3.598727689719661
2020-02-24, 3.7359273677192517, 3.864344175238095, 3.613728567193164
2020-02-21, 3.867500272607752, 3.929676608696473, 3.8067399246101385
2020-02-20, 3.9180533639730206, 4.008244729978531, 3.830641586111111
2020-02-19, 3.863174218523707, 4.082616876541787, 3.6652582335773554
2020-02-18, 3.816531282355676, 3.9740233556941496, 3.6700212066516342
2020-02-14, 3.733237083820539, 3.798736600777977, 3.6695759879398344
2020-02-13, 3.6990453612204566, 3.7992588607651925, 3.603384789028474
2020-02-12, 3.684064831255443, 3.7332969260993685, 3.6358539018965157
2020-02-11, 3.7693785858720945, 3.909962479347192, 3.6376675844333746
2020-02-10, 3.76342692554097, 3.882456493597768, 3.650421139857235
2020-02-07, 3.8447380817792425, 3.8919494912956814, 3.7982981005228758
2020-02-06, 3.915463899283995, 4.000306168306933, 3.8337070908087543
2020-02-05, 4.013657940242968, 4.169810711740077, 3.8672955872783037
2020-02-04, 4.061030858947306, 4.1381361287043665, 3.9862175435720846
2020-02-03, 3.96959280273961, 4.061048315602837, 3.8812278085456593
2020-01-31, 3.984906456124647, 4.114972731076835, 3.860108706561061
2020-01-30, 4.004142423990737, 4.122404513278758, 3.8909912026528346
2020-01-29, 4.022320229807296, 4.087015000564812, 3.9591777198495057
2020-01-28, 4.091414112564357, 4.246397591669625, 3.9461419275724166
2020-01-27, 4.250733467452028, 4.373459631993362, 4.133789346366279
2020-01-24, 4.546543063506961, 4.670513325306969, 4.427215740138143
2020-01-23, 4.504837426181255, 4.626065087638668, 4.388936434696969
2020-01-22, 4.407503139149626, 4.485879096129043, 4.331441687602078
2020-01-21, 4.432147463292575, 4.527503516308524, 4.3401270929688875
2020-01-17, 4.33321731239982, 4.438228907184905, 4.232780544468177
2020-01-16, 4.3688037458252, 4.4563089257523165, 4.28419208293688
2020-01-15, 4.322226468739153, 4.43005168730038, 4.21872667574725
2020-01-14, 4.422661615909432, 4.6486656249600005, 4.216382510032654
2020-01-13, 4.625155416292784, 4.673728770276869, 4.5774334873998965
2020-01-10, 4.755974567237868, 4.934354535295118, 4.58881842741582
2020-01-09, 4.789235733320746, 4.887673544725536, 4.694223021527705
2020-01-08, 4.592910274460467, 4.804144008254834, 4.397238210981028
2020-01-07, 4.699393092683904, 4.86129823294847, 4.54730798449489
2020-01-06, 4.9469469139736715, 5.111817737325967, 4.790854599998314
2020-01-03, 5.254543343505688, 5.491740399120291, 5.035408079342896
2020-01-02, 5.3663671465862315, 5.476506752691518, 5.259682764975096
2019-12-31, 5.1936767549374006, 5.303399248166396, 5.087781401661712
2019-12-30, 5.1214179667779565, 5.2117617187272725, 5.033441890963558
2019-12-27, 5.223182672187205, 5.3149352441303, 5.134261960600627
2019-12-26, 5.090668706760811, 5.196586866790724, 4.988671377222688
2019-12-24, 5.055359336869486, 5.157336361848042, 4.957088784154408
2019-12-23, 4.92542679216202, 5.090018562168323, 4.770670379988882
2019-12-20, 5.172956130064111, 5.249889092887631, 5.097823387127125
2019-12-19, 5.137083625623893, 5.27432893686374, 5.006336248094624
2019-12-18, 5.305192430965707, 5.733451417004049, 4.935444227008266
2019-12-17, 5.498321447455032, 5.643153557569721, 5.360223929638487
2019-12-16, 5.382412129221705, 5.51848783819311, 5.252231912079231
2019-12-13, 5.210630789499736, 5.307032803519171, 5.1168138965512835
2019-12-12, 5.159146013917827, 5.303497631319347, 5.020700872409443
2019-12-11, 5.078005401827004, 5.152296766980134, 5.005509445216628
2019-12-10, 5.0348555260755266, 5.145765508905525, 4.928083375428709
2019-12-09, 4.905167984880065, 5.042452442519425, 4.774687852889847
2019-12-06, 4.917910556662595, 5.035336919835771, 4.805064653026846
2019-12-05, 4.952124449569952, 5.073584127997132, 4.835596051389655
2019-12-04, 4.882737364640529, 5.1336195475037725, 4.654327992974364
2019-12-03, 4.847321911802395, 4.932307182868919, 4.764626130601569
2019-12-02, 4.934460453292204, 5.053990417680257, 4.819141302515178
2019-11-29, 4.7440765869399035, 4.891736225399548, 4.604699735795521
2019-11-27, 4.978638501864438, 5.2903887952546995, 4.700655737180668
2019-11-26, 5.025690995599363, 5.1445746820056995, 4.911766982356517
2019-11-25, 5.1694187229924875, 5.509065643375859, 4.867691694796455
2019-11-22, 4.9398794504880215, 5.273811141398866, 4.644478339297659
2019-11-21, 4.623482432127554, 4.857424394356462, 4.410161621814338
2019-11-20, 4.405258686568821, 4.477886760534894, 4.334394036215905
2019-11-19, 4.465987848322405, 4.535470688872922, 4.39813626353008
2019-11-18, 4.3707986285217535, 4.507469973155441, 4.241851273954902
2019-11-15, 4.186193768729715, 4.305099980015526, 4.073044969390218
2019-11-14, 4.0984800446359975, 4.155562173094171, 4.042699951943863
2019-11-13, 4.0516298437747995, 4.099503660102582, 4.004493968553039
